iter	Passed	Remaining
0	37	56496
1	59	44351
2	81	40546
3	104	38943
4	121	36475
5	136	33938
6	151	32369
7	167	31301
8	184	30564
9	206	30842
10	221	29999
11	237	29480
12	254	29062
13	270	28663
14	285	28255
15	303	28103
16	321	28005
17	337	27774
18	354	27609
19	377	27935
20	399	28148
21	420	28273
22	442	28405
23	460	28348
24	479	28287
25	496	28152
26	512	27967
27	532	28006
28	548	27830
29	565	27730
30	583	27652
31	600	27555
32	619	27529
33	636	27432
34	653	27361
35	671	27295
36	693	27425
37	710	27353
38	729	27342
39	746	27236
40	761	27107
41	779	27066
42	799	27106
43	823	27239
44	846	27359
45	865	27342
46	883	27310
47	907	27446
48	931	27590
49	955	27696
50	975	27703
51	993	27661
52	1013	27658
53	1033	27661
54	1050	27598
55	1066	27512
56	1085	27472
57	1104	27461
58	1123	27431
59	1139	27359
60	1157	27314
61	1174	27235
62	1190	27144
63	1234	27703
64	1252	27662
65	1269	27574
66	1285	27488
67	1300	27391
68	1322	27426
69	1346	27500
70	1362	27429
71	1378	27345
72	1394	27259
73	1409	27160
74	1423	27048
75	1448	27140
76	1469	27150
77	1488	27137
78	1507	27119
79	1524	27061
80	1540	26995
81	1557	26939
82	1572	26853
83	1588	26769
84	1603	26695
85	1617	26592
86	1632	26513
87	1655	26567
88	1676	26572
89	1692	26518
90	1708	26450
91	1724	26399
92	1742	26367
93	1757	26283
94	1774	26248
95	1790	26190
96	1814	26237
97	1840	26328
98	1862	26359
99	1882	26348
100	1900	26322
101	1917	26283
102	1931	26198
103	1947	26135
104	1964	26101
105	1980	26043
106	1995	25978
107	2011	25924
108	2025	25854
109	2041	25794
110	2054	25711
111	2071	25674
112	2085	25600
113	2102	25563
114	2119	25531
115	2135	25480
116	2150	25420
117	2164	25347
118	2179	25294
119	2193	25229
120	2208	25174
121	2224	25125
122	2239	25076
123	2256	25042
124	2277	25052
125	2299	25071
126	2323	25121
127	2344	25132
128	2366	25149
129	2386	25146
130	2405	25143
131	2422	25109
132	2439	25069
133	2453	25011
134	2469	24966
135	2486	24942
136	2504	24918
137	2521	24885
138	2537	24843
139	2553	24805
140	2570	24771
141	2585	24724
142	2601	24688
143	2618	24653
144	2638	24653
145	2673	24790
146	2694	24800
147	2716	24818
148	2741	24860
149	2762	24861
150	2783	24870
151	2805	24880
152	2823	24860
153	2839	24814
154	2855	24781
155	2872	24748
156	2888	24708
157	2906	24683
158	2924	24665
159	2940	24623
160	2957	24595
161	2973	24554
162	2988	24516
163	3005	24481
164	3020	24435
165	3035	24397
166	3051	24355
167	3065	24308
168	3081	24267
169	3097	24235
170	3115	24210
171	3134	24204
172	3151	24170
173	3165	24122
174	3181	24089
175	3198	24058
176	3214	24027
177	3228	23978
178	3245	23950
179	3262	23923
180	3273	23854
181	3288	23816
182	3304	23779
183	3325	23783
184	3346	23788
185	3366	23779
186	3385	23767
187	3406	23772
188	3429	23788
189	3453	23808
190	3472	23801
191	3494	23803
192	3514	23799
193	3535	23803
194	3556	23803
195	3576	23796
196	3597	23793
197	3615	23777
198	3634	23764
199	3655	23758
200	3672	23733
201	3691	23718
202	3711	23710
203	3725	23669
204	3741	23636
205	3755	23592
206	3773	23571
207	3789	23540
208	3805	23509
209	3825	23498
210	3841	23466
211	3856	23428
212	3872	23401
213	3888	23368
214	3908	23360
215	3930	23366
216	3946	23334
217	3954	23254
218	3978	23272
219	3992	23231
220	4009	23203
221	4026	23179
222	4042	23146
223	4059	23123
224	4079	23117
225	4094	23079
226	4107	23035
227	4124	23008
228	4138	22972
229	4156	22949
230	4172	22921
231	4190	22902
232	4204	22864
233	4222	22844
234	4240	22828
235	4257	22804
236	4274	22778
237	4290	22750
238	4307	22726
239	4323	22700
240	4338	22665
241	4354	22636
242	4372	22617
243	4392	22608
244	4408	22584
245	4425	22560
246	4441	22530
247	4450	22466
248	4464	22429
249	4479	22396
250	4494	22365
251	4509	22330
252	4522	22288
253	4535	22248
254	4549	22211
