iter	Logloss
0	0.6907411012
1	0.6883074397
2	0.6859433527
3	0.6836532063
4	0.6814697474
5	0.6794406922
6	0.6774983713
7	0.6756598528
8	0.6738755086
9	0.6720920079
10	0.6707414126
11	0.6691560477
12	0.6674759024
13	0.6659439853
14	0.6644144278
15	0.6628784907
16	0.6614973827
17	0.6603310224
18	0.6590720524
19	0.657693442
20	0.6565382085
21	0.6551678316
22	0.653869425
23	0.6526025273
24	0.6514948603
25	0.6503907116
26	0.6493060703
27	0.648372934
28	0.6475066534
29	0.6464838998
30	0.6456069138
31	0.6448679455
32	0.643884309
33	0.6429385639
34	0.6421885296
35	0.6413049167
36	0.6405530266
37	0.6397450556
38	0.6388880414
39	0.6380901816
40	0.637323806
41	0.6365302141
42	0.6357731719
43	0.6352432226
44	0.6344939627
45	0.6338553967
46	0.6332386358
47	0.6325684469
48	0.6319453035
49	0.6313383865
50	0.6308075124
51	0.6301764053
52	0.6296319267
53	0.628982019
54	0.6284178866
55	0.6277824347
56	0.6272267407
57	0.62678169
58	0.6263326253
59	0.6258726976
60	0.6253821262
61	0.6248812542
62	0.6245700035
63	0.6242095633
64	0.6237701473
65	0.6232407168
66	0.6228264143
67	0.6223510389
68	0.6218453874
69	0.6212581675
70	0.620899301
71	0.6204364253
72	0.6201495215
73	0.6197377519
74	0.6194102794
75	0.6190167544
76	0.6186428515
77	0.6183626763
78	0.6179452994
79	0.6176336157
80	0.6173521469
81	0.6169870294
82	0.6166954243
83	0.6162541975
84	0.6159019374
85	0.6156250319
86	0.615357665
87	0.6150533433
88	0.6147547535
89	0.6143836686
90	0.6140915351
91	0.6138205251
92	0.6135368477
93	0.6132467445
94	0.6130064488
95	0.612716779
96	0.6124090671
97	0.6122165526
98	0.6119010178
99	0.6116716492
100	0.6113952963
101	0.6111161499
102	0.6108835085
103	0.6105475451
104	0.6102837204
105	0.6099877125
106	0.6096521454
107	0.6093778205
108	0.6090711365
109	0.6088005521
110	0.608589807
111	0.6082996178
112	0.6080430922
113	0.6078128708
114	0.6075940789
115	0.6073526979
116	0.6071431765
117	0.6069589239
118	0.6067608509
119	0.6065833348
120	0.6064075562
121	0.6062377708
122	0.6060501826
123	0.605790593
124	0.6056681921
125	0.6054830655
