iter	Logloss
0	0.5485047854
1	0.4422909519
2	0.3648387216
3	0.3075084177
4	0.2662821311
5	0.2355575919
6	0.2130976084
7	0.1957728095
8	0.1825512557
9	0.1721894598
10	0.1642676861
11	0.1583505851
12	0.1538562376
13	0.1499146522
14	0.1468795901
15	0.1444801999
16	0.14247652
17	0.1408024959
18	0.1395707196
19	0.1382234159
20	0.1373388317
21	0.1365844152
22	0.1361126298
23	0.1356473198
24	0.1351558697
25	0.1346896064
26	0.1343688901
27	0.1340852553
28	0.1338007905
29	0.1335723579
30	0.1333870224
31	0.1331749031
32	0.1330147401
33	0.1328573367
34	0.1327136413
35	0.1325749679
36	0.1324173752
37	0.1322936485
38	0.1321885709
39	0.132066244
40	0.1319949706
41	0.1319204029
42	0.1318475793
43	0.1317359284
44	0.1316562889
45	0.1316225238
46	0.1315711053
47	0.131483755
48	0.1314336679
49	0.1313762508
50	0.1313197109
51	0.1312631578
52	0.1312230603
53	0.1311587803
54	0.1311228644
55	0.1310617027
56	0.1310309629
57	0.1310058667
58	0.13095975
59	0.1309281378
60	0.1308855778
61	0.1308409095
62	0.1307944974
63	0.1307721372
64	0.1307231944
65	0.130706138
66	0.1306770347
67	0.1306459405
68	0.1306154507
69	0.1305945274
70	0.1305638851
71	0.1305342451
72	0.1304963965
73	0.1304737231
74	0.1304604057
75	0.1304329688
76	0.1304085028
77	0.1303818663
78	0.1303487666
79	0.1303197782
80	0.1302925175
81	0.1302734406
82	0.1302421616
83	0.1302031637
84	0.1301774619
85	0.1301530561
86	0.1301356253
87	0.1301190562
88	0.1301000118
89	0.1300857951
90	0.1300627334
91	0.1300303409
92	0.1299985523
93	0.1299801618
94	0.1299572907
95	0.1299333121
96	0.1299184422
97	0.1299065849
98	0.1298893102
99	0.1298700558
100	0.1298387688
101	0.129826868
102	0.1298197276
103	0.1297931662
104	0.1297720987
105	0.129754153
106	0.1297300284
107	0.1297151641
108	0.1296959147
109	0.1296785981
110	0.1296714467
111	0.1296594127
112	0.1296247214
113	0.1296113215
114	0.1296001207
115	0.1295742985
116	0.1295502551
117	0.1295326824
118	0.129516018
119	0.1294959012
120	0.1294852742
121	0.1294676627
122	0.1294516253
123	0.1294384022
124	0.12942004
125	0.1294107121
126	0.1293969463
127	0.1293873545
128	0.1293608109
129	0.12933045
130	0.1293124485
131	0.1293040697
132	0.1292847556
133	0.1292766215
134	0.129268092
135	0.1292527386
136	0.1292480694
137	0.1292344527
138	0.1292163021
139	0.129186642
140	0.1291698736
141	0.1291563022
142	0.1291399044
143	0.1291059182
144	0.1291036858
145	0.1290763244
146	0.1290753376
147	0.129069992
148	0.1290633796
149	0.1290485303
150	0.1290347126
151	0.1290200608
152	0.1290090154
153	0.1289950411
154	0.1289817102
155	0.1289654319
156	0.1289460898
157	0.1289449364
158	0.1289342589
159	0.1289147613
160	0.1289004281
161	0.1288971407
162	0.1288921106
163	0.1288846605
164	0.1288653649
165	0.1288567597
166	0.1288425453
167	0.1288392322
168	0.1288270521
169	0.1288262198
170	0.1288113091
171	0.128799938
172	0.1287879057
173	0.1287794594
174	0.1287739639
175	0.1287673498
176	0.1287625075
177	0.1287506447
178	0.128743241
179	0.1287359288
180	0.1287234322
181	0.1287047358
182	0.128694958
183	0.1286876582
184	0.1286774717
185	0.1286690157
186	0.1286471545
187	0.1286289548
188	0.1286231007
189	0.1286138113
190	0.1286102622
191	0.1286053951
192	0.1285996939
193	0.1285920488
194	0.1285854068
195	0.1285841909
196	0.1285665223
197	0.1285549
198	0.1285541675
199	0.1285408567
200	0.1285242283
201	0.1285236822
202	0.1285113471
203	0.1285012009
204	0.1284947235
205	0.1284873712
206	0.1284820464
207	0.1284733303
208	0.1284598026
209	0.1284497685
210	0.1284336111
211	0.1284299616
212	0.1284200125
213	0.1284138573
214	0.1284031345
215	0.128391576
216	0.1283831385
217	0.1283656048
218	0.1283496796
219	0.1283369102
220	0.1283274462
221	0.1283252826
222	0.1283156528
223	0.12830801
224	0.1283021461
225	0.1282893339
226	0.1282833001
227	0.128281655
228	0.1282699138
229	0.1282695232
230	0.1282689323
231	0.1282565774
232	0.1282405939
233	0.1282309543
234	0.1282220187
235	0.1282144048
236	0.1282034323
237	0.1281957458
238	0.1281820361
239	0.1281804872
240	0.1281731668
241	0.1281659243
242	0.1281582836
243	0.1281521442
244	0.1281373581
245	0.1281253604
246	0.1281195274
247	0.1281192081
248	0.1281113791
249	0.1281015902
250	0.1280919907
251	0.1280809084
252	0.1280739824
253	0.128067055
254	0.1280546429
255	0.1280415401
256	0.1280379978
257	0.1280376066
258	0.1280367055
259	0.1280263297
260	0.1280069792
261	0.1280061978
262	0.1279995729
263	0.1279854009
264	0.1279746986
265	0.127968964
266	0.127959711
267	0.127951404
268	0.1279359147
269	0.1279324891
270	0.1279259453
271	0.1279189099
272	0.1279123404
273	0.127903524
274	0.1278924772
275	0.1278841447
276	0.127879974
277	0.1278695081
278	0.1278633344
279	0.1278557644
280	0.1278431311
281	0.1278312383
282	0.1278210569
283	0.1278123554
284	0.1278022378
285	0.1277951001
286	0.1277895281
287	0.127768108
288	0.1277602559
289	0.1277511473
290	0.1277423182
291	0.1277285041
292	0.1277281379
293	0.1277221502
294	0.1277104259
295	0.1277051246
296	0.1276962201
297	0.1276958301
298	0.1276892539
299	0.1276806827
300	0.1276802355
301	0.1276755454
302	0.1276691393
303	0.1276609643
304	0.1276552153
305	0.1276519755
306	0.1276437012
307	0.1276431701
308	0.1276328257
309	0.1276275747
310	0.127618701
311	0.1276127774
312	0.1276050312
313	0.1275979774
314	0.1275891011
315	0.1275880033
316	0.1275777575
317	0.1275708265
318	0.1275647209
319	0.1275575926
320	0.1275512513
321	0.1275478232
322	0.1275429706
323	0.127535685
324	0.1275295153
325	0.1275243347
326	0.1275177765
327	0.1275097906
328	0.1274974412
329	0.1274874606
330	0.1274795706
331	0.1274719215
332	0.1274660218
333	0.1274590321
334	0.1274500095
