iter	Logloss
0	0.6911894686
1	0.6892291874
2	0.6873621541
3	0.6854933625
4	0.6835970759
5	0.6819248976
6	0.6802557402
7	0.6786751735
8	0.6770629777
9	0.6756056691
10	0.6741733519
11	0.6727137813
12	0.6714511319
13	0.6700890641
14	0.6687853444
15	0.6675784969
16	0.6664421803
17	0.6653274139
18	0.6642343809
19	0.6631591746
20	0.6621074294
21	0.661112845
22	0.660211254
23	0.6593290405
24	0.6583944309
25	0.6574960091
26	0.6567325165
27	0.655919805
28	0.655088413
29	0.6543114577
30	0.6534666032
31	0.652787879
32	0.652101387
33	0.6514654012
34	0.6508698759
35	0.6501517031
36	0.6495155179
37	0.6489592846
38	0.6483560821
39	0.6477694878
40	0.6472205844
41	0.6466790559
42	0.6460510522
43	0.6454689682
44	0.6448984529
45	0.6444650041
46	0.6439163182
47	0.6434125878
48	0.6429701726
49	0.6424914364
50	0.6420418539
51	0.6416062906
52	0.6411774849
53	0.6407310035
54	0.6403028214
55	0.6399163014
56	0.6394941516
57	0.6391339972
58	0.6387983114
59	0.6384638824
60	0.6381828418
61	0.6378263326
62	0.6374743251
63	0.6371088276
64	0.6368556328
65	0.6365626639
66	0.6362328354
67	0.6359409345
68	0.6356469017
69	0.6353814241
70	0.6350605701
71	0.6347746899
72	0.634529979
73	0.6342694349
74	0.6340530693
75	0.6337937323
76	0.633535988
77	0.6332763755
78	0.633057736
79	0.6328170954
80	0.6326152344
81	0.6323719341
82	0.6321545006
83	0.6319513193
84	0.6317424869
85	0.6315230615
86	0.6313280415
87	0.6311157006
88	0.6308963594
89	0.630687726
90	0.6304841903
91	0.6302871392
92	0.6301394813
93	0.6299877442
94	0.6297930652
95	0.6296263192
96	0.629468598
97	0.6293022803
98	0.6291538595
99	0.6289960316
100	0.6288476521
101	0.6286988881
102	0.6285474089
103	0.6283935195
104	0.628268755
105	0.6281412113
106	0.6280223335
107	0.6278908522
108	0.6277671059
109	0.6276636126
110	0.6275349403
111	0.627411047
112	0.6272871225
113	0.6271575071
114	0.6270502148
115	0.6269311154
116	0.6268128905
117	0.6267110889
118	0.6265706366
119	0.6264581148
120	0.6263487269
121	0.6262430515
122	0.626128833
123	0.6260323005
124	0.6259165661
125	0.6257960028
126	0.6256957307
127	0.6255950082
128	0.6255194924
129	0.6254329583
130	0.6253470793
131	0.6252584522
132	0.6251625693
133	0.6250737493
134	0.6249737475
135	0.624872492
136	0.6247903714
137	0.6247140508
138	0.6246337184
139	0.6245426275
140	0.6244220137
141	0.6243393275
142	0.6242462229
143	0.6241567902
144	0.6240845078
145	0.6239923057
146	0.6239098658
147	0.6238323339
148	0.6237627056
149	0.6236882162
150	0.623609195
151	0.6235365792
152	0.6234573768
153	0.6233892625
154	0.6233168433
155	0.6232363966
156	0.6231794388
157	0.6230952339
158	0.6230193186
159	0.6229362584
160	0.6228638424
161	0.6227948269
162	0.6227428291
163	0.6226712027
164	0.6225833573
165	0.6225402518
166	0.6224619079
167	0.6223951453
168	0.6223288045
169	0.6222595131
170	0.6221811453
171	0.6221297391
172	0.6220642521
173	0.6219768142
174	0.6219164109
175	0.6218380185
176	0.6217865864
177	0.6217204397
178	0.6216593608
179	0.6215977391
180	0.6215510736
181	0.6215109552
182	0.6214600446
183	0.6213934557
184	0.6213487939
185	0.6212855966
186	0.6212343039
187	0.62117419
188	0.621112583
189	0.6210522851
190	0.6209964831
191	0.6209305692
192	0.6208626232
193	0.6208148168
194	0.6207532691
195	0.6206879871
196	0.6206316146
197	0.6205659061
198	0.6205277774
199	0.6204833382
200	0.620429445
201	0.6203854308
202	0.6203096078
203	0.6202702896
204	0.6202229629
205	0.6201882065
206	0.6201304197
207	0.6200864854
208	0.6200403042
209	0.6200020361
210	0.6199453212
211	0.6199105843
212	0.6198814915
213	0.6198263306
214	0.6197752907
215	0.6197219981
