iter	Passed	Remaining
400	28896	79194
401	29066	79391
402	29141	79325
403	29208	79240
404	29276	79154
405	29349	79083
406	29425	79022
407	29506	78974
408	29586	78921
409	29659	78849
410	29712	78727
411	29782	78649
412	29849	78563
413	29916	78477
414	29985	78396
415	30063	78339
416	30138	78273
417	30214	78210
418	30277	78115
419	30352	78048
420	30432	77996
421	30510	77939
422	30582	77864
423	30656	77799
424	30727	77723
425	30795	77640
426	30868	77569
427	30937	77488
428	31004	77403
429	31103	77396
430	31176	77327
431	31252	77262
432	31319	77178
433	31385	77088
434	31451	77000
435	31520	76922
436	31586	76832
437	31652	76745
438	31715	76651
439	31781	76563
440	31862	76513
441	31941	76457
442	32011	76380
443	32085	76311
444	32257	76475
445	32323	76387
446	32387	76295
447	32453	76207
448	32518	76117
449	32586	76034
450	32658	75961
451	32742	75916
452	32823	75863
453	32903	75809
454	32971	75725
455	33040	75645
456	33102	75548
457	33167	75459
458	33246	75402
459	33323	75340
460	33387	75247
461	33453	75161
462	33534	75107
463	33606	75035
464	33681	74967
465	33751	74889
466	33819	74807
467	33883	74716
468	33963	74662
469	34045	74611
470	34113	74527
471	34181	74446
472	34247	74360
473	34364	74383
474	34444	74328
475	34520	74262
476	34590	74184
477	34659	74104
478	34726	74019
479	34801	73953
480	34881	73897
481	34953	73822
482	35018	73733
483	35086	73652
484	35154	73570
485	35221	73487
486	35292	73410
487	35492	73602
488	35571	73543
489	35644	73472
490	35720	73404
491	35796	73338
492	35874	73277
493	35934	73178
494	36007	73105
495	36073	73019
496	36140	72935
497	36212	72860
498	36278	72774
499	36344	72688
500	36419	72620
501	36526	72616
502	36596	72538
503	36659	72447
504	36716	72342
505	36781	72254
506	36852	72178
507	36916	72088
508	36983	72004
509	37045	71912
510	37112	71828
511	37175	71736
512	37240	71650
513	37303	71558
514	37378	71490
515	37443	71403
516	37556	71407
517	37637	71351
518	37713	71285
519	37788	71215
520	37859	71141
521	37932	71069
522	38016	71017
523	38087	70942
524	38161	70872
525	38232	70794
526	38296	70706
527	38365	70626
528	38431	70542
529	38499	70460
530	38680	70586
531	39052	71057
532	39340	71374
533	39405	71284
534	39474	71201
535	39537	71107
536	39602	71019
537	39681	70953
538	39759	70888
539	39825	70800
540	39897	70724
541	39966	70642
542	40034	70557
543	40112	70492
544	40185	70416
545	40252	70331
546	40330	70265
547	40399	70183
548	40464	70093
549	40533	70011
550	40598	69923
551	40658	69826
552	40763	69806
553	40829	69719
554	40890	69624
555	40952	69530
556	41023	69452
557	41089	69366
558	41157	69283
559	41219	69190
560	41284	69101
561	41345	69007
562	41411	68921
563	41471	68824
564	41538	68740
565	41605	68656
566	41666	68561
567	41728	68469
568	41822	68429
569	41881	68332
570	41936	68229
571	42001	68141
