iter	Logloss
0	0.6911042461
1	0.6891304049
2	0.6871848412
3	0.6853782286
4	0.6836383992
5	0.6820292388
6	0.6803970787
7	0.6786976068
8	0.6771611591
9	0.6756839349
10	0.6742900361
11	0.6729458841
12	0.6716954522
13	0.6704064614
14	0.6691735363
15	0.6679654863
16	0.6667496978
17	0.6656025781
18	0.6645269139
19	0.6635690485
20	0.6625408117
21	0.6615025178
22	0.6606122959
23	0.6596868151
24	0.6587836784
25	0.6579583148
26	0.657078488
27	0.6562483165
28	0.6553825536
29	0.6546347697
30	0.6538732846
31	0.6532276441
32	0.652458309
33	0.6518283091
34	0.6512274019
35	0.6505722992
36	0.6499964443
37	0.6494293493
38	0.6487655684
39	0.6481395765
40	0.6475881027
41	0.6470781667
42	0.6465890297
43	0.6460475767
44	0.645469947
45	0.6449224794
46	0.6444025917
47	0.6439522553
48	0.6435386434
49	0.6430906511
50	0.6426576225
51	0.6422545888
52	0.6418762097
53	0.641419366
54	0.641000717
55	0.6405693867
56	0.6402143526
57	0.6398386399
58	0.6394699992
59	0.6390972317
60	0.6387970645
61	0.6384754294
62	0.6381694096
63	0.6378228186
64	0.6375215452
65	0.637207161
66	0.6369018817
67	0.6365709922
68	0.6362607212
69	0.6359315184
70	0.6356392419
71	0.635391416
72	0.6351176343
73	0.6348794294
74	0.6346053515
75	0.6343579783
76	0.6341111271
77	0.6338462597
78	0.6335977755
79	0.6333985425
80	0.6331564276
81	0.6329271196
82	0.6327195067
83	0.6324999036
84	0.6322668122
85	0.6320499637
86	0.6318707105
87	0.6316647673
88	0.6314698826
89	0.631268164
90	0.6310707468
91	0.6308880434
92	0.6307234722
93	0.6305506199
94	0.6304042239
95	0.6302263478
96	0.630089446
97	0.6299052072
98	0.6297574444
99	0.6295931808
100	0.6294715175
101	0.62936304
102	0.6292110312
103	0.6291134299
104	0.6289653855
105	0.6288195549
106	0.6287045058
107	0.6285696957
108	0.6284517069
109	0.6282992136
110	0.628161241
111	0.6280493688
112	0.6279169407
113	0.6277950543
114	0.6277017349
115	0.6275739836
116	0.6274516364
117	0.6273215962
118	0.6271934316
119	0.6270755253
120	0.6269544781
121	0.6268465419
122	0.6267204657
123	0.6266204957
124	0.6264936586
125	0.6263869264
126	0.6262791941
127	0.6261767273
128	0.626097522
129	0.6260064407
130	0.6259147077
131	0.6258374579
132	0.6257279861
133	0.625623471
134	0.6255208316
135	0.6254216358
136	0.6253365467
137	0.6252461409
138	0.6251379772
139	0.6250482458
140	0.624943967
141	0.6248591428
142	0.6247733193
143	0.6246855318
144	0.6246116284
145	0.624534383
146	0.6244545568
147	0.6243847354
148	0.624281636
149	0.6242117177
150	0.6241066465
151	0.6240361492
152	0.6239754542
153	0.6238954546
154	0.6238279105
155	0.6237446128
156	0.6236554872
157	0.6235940182
158	0.6235154833
159	0.6234421444
160	0.623369645
161	0.6232923506
162	0.6232252344
163	0.6231652428
