iter	Passed	Remaining
0	66	99928
1	128	96590
2	193	96374
3	252	94366
4	313	93771
5	372	92864
6	430	91740
7	489	91372
8	554	91910
9	621	92640
10	679	92009
11	737	91482
12	847	96967
13	934	99193
14	1005	99557
15	1062	98528
16	1123	97984
17	1178	97047
18	1241	96768
19	1307	96740
20	1370	96530
21	1445	97092
22	1525	97933
23	1588	97723
24	1648	97284
25	1711	97018
26	1805	98483
27	1883	99027
28	1956	99239
29	2027	99331
30	2096	99346
31	2160	99132
32	2226	98975
33	2298	99088
34	2360	98815
35	2493	101404
36	2560	101227
37	2621	100849
38	2682	100486
39	2741	100066
40	2806	99870
41	2879	99956
42	2939	99589
43	3000	99289
44	3065	99125
45	3128	98876
46	3184	98456
47	3242	98071
48	3324	98440
49	3386	98215
50	3446	97921
51	3517	97954
52	3587	97940
53	3651	97786
54	3715	97629
55	3777	97394
56	3853	97553
57	3918	97415
58	3977	97152
59	4034	96839
60	4108	96917
61	4177	96891
62	4240	96716
63	4298	96440
64	4412	97421
65	4487	97490
66	4563	97599
67	4640	97720
68	4706	97616
69	4765	97343
70	4826	97151
71	4892	97031
72	4960	96967
73	5023	96812
74	5086	96638
75	5163	96747
76	5238	96812
77	5312	96849
78	5377	96730
79	5443	96628
80	5522	96742
81	5587	96626
82	5658	96597
83	5721	96453
84	5782	96266
85	5852	96233
86	5916	96084
87	5974	95857
88	6037	95714
89	6104	95638
90	6171	95549
91	6231	95371
92	6293	95216
93	6375	95358
94	6440	95248
95	6500	95062
96	6571	95051
97	6634	94909
98	6697	94784
99	6758	94623
100	6819	94456
101	6885	94374
102	6951	94286
103	7016	94180
104	7074	93988
105	7146	93981
106	7211	93883
107	7268	93681
108	7329	93538
109	7392	93413
110	7458	93337
111	7523	93233
112	7590	93174
113	7661	93151
114	7729	93090
115	7790	92947
116	7858	92888
117	7925	92826
118	7986	92686
119	8047	92540
120	8111	92438
121	8180	92402
122	8252	92384
123	8319	92314
124	8382	92207
125	8452	92170
126	8518	92091
127	8586	92032
128	8659	92036
129	8718	91880
130	8782	91783
131	8853	91752
132	8919	91672
133	8979	91542
134	9036	91366
135	9103	91298
136	9177	91301
137	9241	91212
138	9339	91444
139	9448	91787
140	9510	91669
141	9596	91774
142	9670	91770
143	9742	91742
144	9818	91755
145	9896	91779
146	9963	91701
147	10054	91852
148	10138	91929
149	10202	91821
150	10272	91768
151	10340	91705
