iter	Passed	Remaining
0	54	81057
1	119	89787
2	185	92367
3	245	91978
4	303	90694
5	361	89965
6	421	89945
7	492	91837
8	552	91574
9	643	95823
10	714	96704
11	783	97104
12	872	99770
13	943	100119
14	1011	100123
15	1081	100295
16	1144	99835
17	1211	99786
18	1275	99415
19	1350	99966
20	1414	99599
21	1471	98876
22	1528	98153
23	1592	97925
24	1658	97872
25	1717	97373
26	1774	96818
27	1843	96902
28	1906	96709
29	1966	96354
30	2028	96128
31	2093	96048
32	2157	95912
33	2217	95620
34	2279	95398
35	2341	95240
36	2405	95105
37	2464	94809
38	2528	94723
39	2586	94414
40	2652	94390
41	2714	94216
42	2774	94009
43	2838	93916
44	2925	94586
45	2986	94384
46	3044	94118
47	3118	94338
48	3179	94145
49	3235	93840
50	3314	94170
51	3375	93982
52	3439	93914
53	3495	93593
54	3559	93527
55	3621	93372
56	3683	93261
57	3745	93128
58	3813	93136
59	3960	95040
60	4038	95273
61	4104	95193
62	4166	95032
63	4233	94984
64	4300	94936
65	4361	94765
66	4422	94583
67	4483	94407
68	4545	94267
69	4613	94240
70	4673	94057
71	4731	93836
72	4796	93752
73	4857	93601
74	4913	93352
75	4970	93130
76	5074	93782
77	5138	93681
78	5200	93545
79	5262	93400
80	5339	93543
81	5404	93462
82	5465	93308
83	5524	93126
84	5591	93088
85	5658	93043
86	5718	92880
87	5782	92776
88	5849	92738
89	5914	92665
90	5975	92519
91	6052	92628
92	6122	92634
93	6197	92698
94	6259	92569
95	6328	92555
96	6396	92518
97	6459	92411
98	6530	92415
99	6600	92410
100	6659	92245
101	6718	92081
102	6784	92019
103	6847	91916
104	6909	91796
105	6972	91691
106	7036	91611
107	7131	91920
108	7199	91870
109	7260	91751
110	7334	91780
111	7397	91674
112	7463	91610
113	7531	91569
114	7601	91547
115	7680	91637
116	7747	91575
117	7808	91456
118	7872	91355
119	7944	91361
120	8010	91297
121	8083	91307
122	8182	91605
123	8258	91647
124	8324	91564
125	8398	91584
126	8474	91618
127	8552	91671
128	8620	91620
129	8689	91577
130	8756	91507
131	8814	91348
132	8889	91365
133	8954	91285
134	9018	91182
135	9076	91030
136	9229	91827
137	9296	91752
138	9356	91613
139	9484	92136
140	9555	92098
141	9628	92082
142	9695	92006
143	9766	91963
144	9828	91847
145	9893	91749
146	9961	91684
147	10029	91622
148	10091	91502
149	10152	91368
150	10233	91422
151	10305	91389
152	10370	91299
153	10442	91269
154	10513	91227
155	10582	91169
156	10644	91055
157	10709	90964
158	10778	90901
159	10841	90800
160	10909	90732
161	10974	90643
162	11037	90531
163	11097	90404
164	11169	90375
165	11250	90410
166	11320	90360
167	11386	90275
168	11448	90168
169	11516	90097
170	11574	89956
171	11644	89902
172	11712	89838
173	11773	89719
174	11841	89659
175	11912	89613
176	11976	89519
177	12037	89400
178	12097	89280
179	12168	89233
180	12231	89137
181	12321	89227
182	12395	89209
183	12466	89159
184	12530	89066
185	12593	88965
186	12662	88908
187	12732	88858
188	12793	88741
189	12850	88600
190	12919	88540
191	12991	88503
192	13049	88369
193	13110	88256
194	13184	88234
195	13267	88267
196	13367	88416
197	13455	88481
198	13530	88459
199	13606	88440
200	13670	88348
201	13739	88285
202	13800	88176
203	13866	88095
204	13940	88064
205	14015	88039
206	14074	87916
207	14135	87804
208	14203	87738
209	14272	87671
210	14398	87958
211	14506	88134
212	14585	88127
213	14656	88074
214	14725	88012
215	14809	88031
216	14876	87953
217	14942	87874
218	15013	87819
219	15077	87724
220	15141	87631
221	15205	87531
222	15270	87445
223	15335	87357
224	15394	87236
225	15488	87313
226	15556	87237
227	15627	87184
228	15692	87094
229	15766	87055
230	15828	86955
231	15890	86850
232	15963	86803
233	16033	86746
234	16093	86633
235	16163	86571
236	16228	86485
237	16305	86457
238	16367	86359
239	16436	86289
240	16526	86335
241	16790	87284
242	17067	88289
243	17145	88254
244	17206	88139
245	17269	88031
246	17344	87986
247	17412	87903
248	17478	87811
249	17576	87881
250	17659	87875
251	17727	87792
252	17818	87826
253	17885	87735
254	17945	87615
255	18023	87582
256	18090	87495
257	18156	87402
258	18229	87345
259	18292	87241
260	18352	87120
261	18424	87057
262	18492	86978
263	18660	87367
264	18754	87405
265	18821	87313
266	18882	87200
267	18952	87125
268	19017	87027
269	19078	86915
270	19155	86870
271	19214	86749
272	19282	86666
273	19353	86596
274	19426	86536
275	19492	86446
276	19555	86340
277	19616	86227
278	19714	86278
279	19780	86187
280	19841	86075
281	19904	85968
282	19971	85883
283	20041	85811
284	20100	85691
285	20160	85576
286	20224	85479
287	20296	85413
288	20357	85304
289	20421	85207
290	20502	85182
291	20572	85109
292	20634	85004
293	20723	85010
294	20812	85013
295	20878	84923
296	20946	84843
297	21015	84767
298	21078	84666
299	21144	84577
300	21210	84489
301	21280	84416
302	21352	84352
303	21417	84261
304	21486	84184
305	21546	84074
306	21607	83966
307	21681	83910
308	21779	83947
309	21847	83866
310	21914	83782
311	21987	83722
312	22046	83607
313	22104	83492
314	22170	83403
315	22240	83329
316	22306	83244
317	22371	83155
318	22442	83087
319	22506	82992
320	22569	82894
321	22637	82816
322	22701	82725
323	22790	82722
324	22854	82629
325	22922	82549
326	22984	82450
327	23047	82352
328	23114	82271
329	23183	82196
330	23249	82111
331	23317	82032
332	23383	81947
333	23450	81865
334	23513	81770
335	23581	81693
336	23651	81623
337	23711	81515
338	23849	81679
339	23925	81627
340	23995	81554
341	24057	81456
342	24128	81389
343	24200	81324
344	24263	81229
345	24331	81150
346	24402	81082
347	24463	80981
348	24533	80911
349	24599	80825
350	24660	80727
351	24726	80640
352	24792	80559
353	24869	80508
354	24946	80462
355	25012	80377
356	25083	80309
357	25148	80220
358	25209	80122
359	25299	80113
360	25372	80052
361	25436	79962
362	25489	79840
363	25558	79764
364	25685	79869
365	25759	79810
366	25839	79772
367	25912	79707
368	25989	79659
369	26051	79563
370	26123	79498
371	26188	79408
372	26250	79313
373	26320	79244
374	26389	79169
375	26473	79138
376	26563	79126
377	26637	79066
378	26708	78996
379	26769	78899
380	26845	78844
381	26915	78773
382	27013	78784
383	27079	78699
384	27147	78622
385	27209	78526
386	27276	78447
387	27345	78372
388	27411	78287
389	27473	78194
390	27545	78126
391	27616	78058
392	27680	77969
393	27743	77880
394	27817	77817
395	27887	77747
396	28009	77820
397	28107	77824
398	28173	77742
399	28237	77653
400	28304	77572
401	28376	77506
402	28439	77414
403	28505	77333
404	28571	77247
405	28644	77184
406	28713	77109
407	28775	77017
408	28847	76950
409	28919	76882
410	28985	76801
411	29064	76752
412	29134	76680
413	29205	76610
414	29263	76508
415	29335	76442
416	29404	76367
417	29469	76282
418	29530	76188
419	29592	76095
420	29663	76025
421	29731	75948
422	29794	75860
423	29876	75819
424	29955	75770
425	30023	75693
426	30109	75661
427	30175	75579
428	30245	75508
429	30318	75443
430	30389	75375
431	30494	75390
432	30559	75303
433	30625	75222
434	30683	75122
435	30748	75037
436	30820	74969
437	30888	74893
438	30943	74787
439	31013	74713
440	31083	74642
441	31181	74637
442	31243	74547
443	31319	74490
444	31389	74418
445	31451	74328
446	31521	74254
447	31591	74184
448	31657	74101
449	31728	74033
450	31794	73952
451	31862	73875
452	31933	73807
453	32001	73730
454	32063	73639
455	32133	73568
456	32292	73699
457	32359	73620
458	32424	73537
459	32495	73467
460	32571	73409
461	32638	73329
462	32699	73237
463	32783	73197
464	32882	73190
465	32968	73152
466	33049	73104
467	33114	73022
468	33175	72929
469	33250	72868
470	33325	72807
471	33390	72724
472	33458	72647
473	33528	72573
474	33595	72494
475	33670	72433
476	33743	72367
477	33806	72280
478	33877	72210
479	33944	72132
480	34010	72051
481	34081	71980
482	34149	71904
483	34208	71809
484	34369	71928
485	34465	71909
486	34610	71993
487	34679	71917
488	34751	71847
489	34816	71764
490	34885	71689
491	34954	71613
492	35018	71529
493	35095	71470
494	35162	71391
495	35232	71317
496	35320	71280
497	35389	71205
498	35462	71138
499	35532	71064
500	35617	71022
501	35679	70932
502	35743	70847
503	35814	70776
504	35877	70690
505	35947	70616
506	36015	70539
507	36077	70449
508	36138	70359
509	36211	70293
510	36283	70223
511	36407	70255
512	36476	70180
513	36544	70102
514	36607	70015
515	36674	69938
516	36741	69858
517	36805	69773
518	36874	69698
519	36944	69625
520	37014	69552
521	37080	69472
522	37141	69382
523	37207	69302
524	37281	69237
525	37342	69148
526	37405	69060
527	37501	69036
528	37570	68962
529	37630	68871
530	37693	68785
531	37776	68735
532	37847	68665
533	37910	68579
534	37970	68489
535	38040	68416
536	38107	68337
537	38171	68254
538	38234	68169
539	38308	68103
540	38375	68026
541	38444	67951
542	38540	67924
543	38609	67850
544	38675	67770
545	38736	67683
546	38806	67609
547	38871	67528
548	38939	67452
549	39000	67363
550	39063	67279
551	39128	67199
552	39189	67111
553	39249	67021
554	39307	66928
555	39379	66860
556	39442	66775
557	39514	66707
558	39593	66649
559	39658	66569
560	39724	66490
561	39799	66426
562	39863	66345
563	39927	66262
564	39995	66186
565	40070	66122
566	40131	66036
567	40199	65961
568	40268	65888
569	40331	65804
570	40402	65733
571	40474	65664
572	40551	65603
573	40622	65533
574	40695	65466
575	40764	65392
576	40832	65318
577	40899	65240
578	40966	65164
579	41038	65095
580	41104	65016
581	41180	64954
582	41249	64882
583	41320	64810
584	41392	64742
585	41458	64664
586	41535	64603
587	41692	64666
588	41763	64595
589	41833	64523
590	41901	64447
591	41971	64374
592	42037	64296
593	42097	64209
594	42165	64133
595	42230	64054
596	42290	63966
597	42361	63896
598	42426	63817
599	42488	63732
600	42551	63650
601	42624	63582
602	42719	63548
603	42787	63472
604	42850	63390
605	42915	63310
606	42991	63247
607	43058	63171
608	43120	63088
609	43177	62996
610	43254	62934
611	43326	62866
612	43398	62796
613	43475	62734
614	43562	62686
615	43630	62612
616	43698	62537
617	43779	62481
618	43843	62401
619	43900	62310
620	43969	62237
621	44036	62160
622	44099	62078
623	44169	62006
624	44241	61937
625	44309	61863
626	44375	61786
627	44451	61723
628	44521	61650
629	44590	61576
630	44658	61503
631	44737	61443
632	44978	61605
