iter	Logloss
0	0.6911052218
1	0.6891574046
2	0.6873205996
3	0.6854811778
4	0.6836642884
5	0.6820271693
6	0.6803466539
7	0.6788732264
8	0.67727081
9	0.6758059333
10	0.674374318
11	0.6730535673
12	0.6716756915
13	0.6703830231
14	0.6690654834
15	0.6678396152
16	0.6667169872
17	0.6655804573
18	0.6645246669
19	0.6635639981
20	0.6625026495
21	0.6615369371
22	0.6605143225
23	0.659557233
24	0.6586411779
25	0.6577011899
26	0.6568480423
27	0.6559951782
28	0.6552080278
29	0.6544622035
30	0.6538028816
31	0.6530125544
32	0.6523369795
33	0.6516410619
34	0.6509130874
35	0.6502537314
36	0.649572382
37	0.6489930405
38	0.6484213403
39	0.6477722887
40	0.6472064961
41	0.6466189002
42	0.6460419292
43	0.6455512972
44	0.6450986238
45	0.6445662742
46	0.644040483
47	0.6435671383
48	0.6430544807
49	0.6425637301
50	0.6421072741
51	0.6416478067
52	0.6411986049
53	0.6407791539
54	0.6403604994
55	0.6399720636
56	0.6395975031
57	0.6392538561
58	0.6388980537
59	0.6385689235
60	0.638225981
61	0.6378882605
62	0.6375677278
63	0.6372558783
64	0.6369214293
65	0.6366048905
66	0.6362972602
67	0.6359994909
68	0.6356667895
69	0.6353465856
70	0.6351078301
71	0.6348608024
72	0.6345847649
73	0.6343381291
74	0.6340824472
75	0.6338097393
76	0.633559881
77	0.6333013929
78	0.6330806579
79	0.6328663362
80	0.632638262
81	0.6324214066
82	0.6322132074
83	0.6319883356
84	0.6318156807
85	0.6316087729
86	0.6314152662
87	0.6312704595
88	0.6310388059
89	0.6308405798
90	0.6306302083
91	0.6304129187
92	0.630209075
93	0.6300348002
94	0.6298620205
95	0.6297041678
96	0.629537009
97	0.629382235
98	0.6292031099
99	0.6290383592
100	0.628859418
101	0.6286828775
102	0.6285321681
103	0.6283947844
104	0.6282600492
105	0.6281236406
106	0.6279938606
107	0.6278552311
108	0.627722022
109	0.6275938814
110	0.6274687779
111	0.6273384158
112	0.6272035338
113	0.6271059358
114	0.6269805541
115	0.6268461727
116	0.6267326584
117	0.6265951983
118	0.6264790622
119	0.6263489337
120	0.626237956
121	0.6261379115
122	0.6260289046
123	0.6259164407
124	0.6258227598
125	0.6257483355
126	0.6256459459
127	0.6255564609
128	0.6254597412
129	0.6253724471
130	0.6252679224
131	0.6251585754
132	0.6250672868
133	0.6249678028
134	0.6248712741
135	0.6247827854
136	0.6247063359
137	0.6246289637
138	0.6245247302
139	0.6244554537
140	0.6243700695
141	0.6242807534
142	0.6241716439
143	0.6240957435
144	0.6240322983
145	0.6239496425
146	0.6238826473
147	0.6238092091
148	0.6237390202
149	0.6236574183
150	0.6235662106
151	0.6234884697
152	0.623416709
153	0.6233549866
154	0.6232705532
155	0.6231901296
156	0.6231145204
157	0.6230447083
158	0.6229649321
159	0.6228897251
160	0.622835597
161	0.6227526072
162	0.6226775724
163	0.6226078493
164	0.6225606714
165	0.6225179754
166	0.6224676947
167	0.6224064511
168	0.6223444339
169	0.6222772803
170	0.6222226827
171	0.6221730632
172	0.6221160982
173	0.6220651176
174	0.621995408
175	0.6219249935
176	0.6218568822
177	0.6217817098
178	0.6217109155
179	0.6216740949
180	0.6216134683
181	0.6215706329
182	0.6214977502
183	0.6214474542
184	0.6214049989
185	0.6213287176
186	0.6212684155
187	0.6212135377
188	0.6211631872
189	0.6211059766
190	0.6210558782
191	0.6209892351
192	0.6209324499
193	0.6208790828
194	0.6208346702
195	0.6207956563
196	0.6207415148
197	0.6206929568
198	0.6206323747
199	0.6205830391
200	0.6205376289
201	0.6205159899
202	0.6204599005
203	0.6204092652
204	0.620343302
205	0.6203051089
206	0.6202578054
207	0.6202245755
208	0.6201826877
209	0.6201432642
210	0.6201073879
211	0.6200533965
212	0.6200134331
213	0.6199589723
214	0.6198988449
215	0.6198384183
216	0.6197753269
217	0.6197314633
218	0.6196845712
219	0.6196391336
220	0.6195914232
221	0.6195385576
222	0.6194913741
223	0.619426432
224	0.6193818362
225	0.6193402055
226	0.6193058924
227	0.6192647896
228	0.6192123868
229	0.6191681152
230	0.6191223714
231	0.6190820517
232	0.6190428205
233	0.6190029206
234	0.6189585163
235	0.6189206492
236	0.618870322
237	0.6188461067
238	0.618807039
239	0.6187778181
240	0.6187343641
241	0.6186921535
242	0.618648555
243	0.6186014299
