iter	Passed	Remaining
0	63	95155
1	124	93518
2	206	102990
3	278	104192
4	347	103946
5	416	103789
6	479	102251
7	573	106897
8	636	105512
9	702	104624
10	771	104447
11	829	102802
12	893	102159
13	964	102363
14	1027	101714
15	1090	101108
16	1149	100291
17	1218	100315
18	1277	99599
19	1340	99194
20	1399	98599
21	1465	98471
22	1529	98192
23	1593	97995
24	1669	98478
25	1735	98404
26	1801	98263
27	1861	97864
28	1933	98083
29	1993	97699
30	2085	98818
31	2147	98531
32	2216	98549
33	2283	98458
34	2344	98121
35	2447	99520
36	2533	100170
37	2636	101431
38	2725	102115
39	2804	102379
40	2876	102355
41	2950	102432
42	3024	102472
43	3083	102027
44	3145	101717
45	3214	101609
46	3276	101289
47	3339	101016
48	3402	100743
49	3460	100366
50	3527	100233
51	3586	99876
52	3687	100677
53	3780	101223
54	3839	100876
55	3908	100785
56	3975	100648
57	4039	100430
58	4103	100224
59	4175	100202
60	4241	100055
61	4309	99960
62	4368	99646
63	4436	99533
64	4496	99277
65	4559	99063
66	4630	99046
67	4745	99933
68	4816	99884
69	4880	99695
70	4960	99836
71	5049	100139
72	5112	99947
73	5180	99821
74	5249	99748
75	5316	99609
76	5379	99414
77	5448	99338
78	5511	99137
79	5571	98889
80	5632	98670
81	5800	100312
82	5874	100286
83	5941	100158
84	6077	101168
85	6140	100968
86	6202	100733
87	6258	100421
88	6332	100387
89	6437	100854
90	6526	101059
91	6594	100925
92	6659	100746
93	6719	100511
94	6785	100349
95	6887	100723
96	6960	100673
97	7019	100421
98	7078	100166
99	7170	100380
100	7242	100323
101	7304	100110
102	7381	100111
103	7451	100018
104	7514	99831
105	7577	99654
106	7643	99502
107	7719	99495
108	7777	99255
109	7863	99361
110	7933	99279
111	7996	99098
112	8056	98893
113	8125	98793
114	8191	98654
115	8264	98604
116	8332	98489
117	8407	98468
118	8471	98311
119	8538	98188
120	8624	98293
121	8702	98294
122	8776	98254
123	8860	98326
124	8921	98140
125	8990	98034
126	9056	97905
127	9117	97727
128	9178	97549
129	9249	97479
130	9347	97686
131	9415	97579
132	9498	97627
133	9569	97554
134	9634	97414
135	9697	97255
136	9764	97148
137	9832	97041
138	9913	97069
139	9969	96844
140	10049	96858
141	10113	96714
142	10173	96538
143	10253	96555
144	10320	96445
145	10387	96334
146	10461	96291
147	10518	96087
148	10584	95968
149	10672	96049
150	10741	95964
151	10806	95834
152	10879	95777
153	10940	95625
154	11006	95505
155	11064	95329
156	11138	95279
157	11204	95168
158	11269	95049
159	11345	95019
160	11431	95074
161	11501	94992
162	11571	94913
163	11648	94890
164	11709	94737
165	11776	94636
166	11842	94524
167	11918	94498
168	11985	94392
169	12060	94354
170	12126	94246
171	12198	94185
172	12268	94108
173	12340	94042
174	12400	93889
175	12491	93973
176	12571	93969
177	12639	93873
178	12708	93783
179	12773	93672
180	12839	93561
181	12902	93439
