iter	Logloss
0	0.6910695771
1	0.6892276165
2	0.6873298213
3	0.6855280667
4	0.683772962
5	0.6820270078
6	0.6803341068
7	0.6787638657
8	0.6771240296
9	0.6756891413
10	0.6742724101
11	0.6728956819
12	0.6716358611
13	0.6703114569
14	0.6690811395
15	0.6678398629
16	0.666669293
17	0.6655051469
18	0.6643256496
19	0.6633740869
20	0.6624516688
21	0.6614622377
22	0.6604090449
23	0.6594131071
24	0.6584870128
25	0.657586894
26	0.6567395069
27	0.6558957087
28	0.6551237032
29	0.6543111957
30	0.653528609
31	0.652779149
32	0.6520964813
33	0.6514467117
34	0.650820928
35	0.6501584646
36	0.6495013333
37	0.6488838573
38	0.6483613168
39	0.6478461191
40	0.6472577036
41	0.6466774568
42	0.6461260786
43	0.645609356
44	0.64509104
45	0.6446163248
46	0.6441291236
47	0.6435993643
48	0.6431094092
49	0.6426494419
50	0.6422148366
51	0.6417555624
52	0.6413864126
53	0.640962581
54	0.6405562072
55	0.6401213916
56	0.6397485579
57	0.6393351566
58	0.6389352098
59	0.6385886607
60	0.6382815502
61	0.6379547701
62	0.6376181366
63	0.6372367066
64	0.6369046118
65	0.6365919562
66	0.6362845267
67	0.6360054659
68	0.6357031922
69	0.6354653549
70	0.6351907221
71	0.6349143633
72	0.6346749022
73	0.6344067669
74	0.6341834017
75	0.6339284152
76	0.6336720346
77	0.633429072
78	0.6331910296
79	0.6329934984
80	0.6327507025
81	0.632506832
82	0.6322734516
83	0.6320477235
84	0.631795837
85	0.6315638038
86	0.6313684718
87	0.6311569803
88	0.6309602309
89	0.6307803374
90	0.6305829459
91	0.6304004323
92	0.6302124133
93	0.6300301717
94	0.6298779992
95	0.6297139135
96	0.6295459652
97	0.6293759039
98	0.6292293487
99	0.629092334
100	0.6289359753
101	0.6287878283
102	0.6286316539
103	0.6284777306
104	0.6283481584
105	0.6282251312
106	0.6280801315
107	0.6279479222
108	0.6277889261
109	0.627691153
110	0.6275617435
111	0.6274136018
112	0.6272874381
113	0.6271806812
114	0.6270506645
115	0.626931636
116	0.6268088748
117	0.6266927884
118	0.6265788428
119	0.6264801744
120	0.6263663054
121	0.6262710348
122	0.6261688134
123	0.6260607533
124	0.6259413492
125	0.6258713871
126	0.6257533104
127	0.6256737821
128	0.6255802178
129	0.6254948039
130	0.6253996389
131	0.6252955581
132	0.6251982772
133	0.6251022005
134	0.6249919211
135	0.6249064373
136	0.624821849
137	0.6247428658
138	0.6246490889
139	0.6245515061
140	0.624470753
141	0.6243738181
142	0.6242837355
143	0.6242306106
144	0.6241577823
145	0.6240761963
146	0.6240020292
147	0.6239068948
148	0.6238119285
149	0.6237360373
150	0.6236596345
151	0.6235801609
152	0.6235013929
153	0.6234203115
154	0.6233296463
155	0.6232498839
156	0.6231925353
157	0.6231120483
158	0.6230445564
159	0.6229671957
160	0.6228917159
161	0.6228220422
162	0.6227453987
163	0.6226654241
164	0.6226097088
165	0.622512267
166	0.6224386683
167	0.6223775847
168	0.6223004184
169	0.6222407832
170	0.6221621511
171	0.6220860099
172	0.6220262109
173	0.621971709
174	0.6219061082
175	0.62183694
176	0.6217736292
177	0.6216992513
178	0.6216421927
179	0.6215919281
180	0.6215375237
181	0.6214829312
182	0.6214208791
183	0.6213352488
184	0.6212887087
185	0.6212408536
186	0.6211851256
187	0.6211215844
188	0.6210665591
189	0.6210089392
190	0.6209565738
191	0.6209057096
192	0.6208430251
193	0.6207763047
194	0.6207273856
195	0.620693572
196	0.620648633
197	0.620606092
198	0.6205209749
199	0.6204677315
200	0.6204177142
201	0.6203636144
202	0.6203083037
203	0.6202777507
204	0.6202244261
205	0.620176656
206	0.6201247041
207	0.6200886693
208	0.6200499034
209	0.620011601
210	0.6199539043
211	0.6199091889
212	0.6198797107
213	0.6198392806
214	0.619788313
215	0.6197537922
216	0.6197118492
217	0.6196774303
218	0.619633497
219	0.6195831995
220	0.6195388765
221	0.6194743248
222	0.6194291976
223	0.6193951104
224	0.6193597419
225	0.6193130763
226	0.6192697513
227	0.6192367288
228	0.6191861676
229	0.6191437272
230	0.6190989894
231	0.6190592352
232	0.6190064822
233	0.6189611391
234	0.6189118958
235	0.6188705928
236	0.6188178098
237	0.6187949368
238	0.6187460119
239	0.6187190334
240	0.6186741314
241	0.6186275835
242	0.618601394
243	0.6185566537
244	0.6185135841
245	0.6184770592
246	0.6184474452
247	0.6184200852
248	0.6183848895
249	0.6183559285
250	0.6183200148
251	0.618284907
252	0.618254618
253	0.6182282521
254	0.6181938923
255	0.6181446783
256	0.6181018091
257	0.6180649072
258	0.6180211257
259	0.6179942547
260	0.6179522312
261	0.6179278173
262	0.6178889336
263	0.6178523614
264	0.6178126183
265	0.6177890349
266	0.617744226
267	0.6177090832
268	0.6176673088
269	0.617622591
270	0.6176007471
271	0.6175711278
272	0.6175424122
273	0.6175029635
274	0.6174766198
275	0.6174454979
276	0.6174171501
277	0.6173795828
278	0.6173491387
279	0.6173219517
280	0.6172956872
281	0.6172604067
282	0.617225444
283	0.6172015778
284	0.6171693696
285	0.617144874
286	0.6170944773
287	0.6170560754
288	0.6170232612
289	0.6169908004
290	0.6169456368
291	0.6169206368
292	0.6168967755
293	0.6168655397
294	0.6168269259
295	0.6167941065
296	0.6167749392
297	0.6167419722
298	0.6167065012
299	0.6166764501
300	0.6166399087
301	0.6166159496
302	0.6165840798
303	0.6165628768
304	0.6165414752
305	0.6165004241
306	0.6164673729
307	0.6164373312
308	0.6164040304
309	0.6163678373
310	0.6163406464
311	0.6163136814
312	0.6162839494
313	0.6162604803
314	0.6162299182
315	0.6161897317
316	0.6161613392
317	0.6161134684
318	0.6160759264
319	0.6160465141
320	0.6160129129
321	0.6159741083
322	0.6159546175
323	0.6159257102
324	0.6159028081
325	0.6158882708
326	0.6158675914
327	0.615842543
328	0.6158002525
329	0.6157676139
330	0.6157364064
331	0.6157124766
332	0.6156833315
333	0.6156574347
334	0.6156490999
335	0.6156333875
336	0.615614229
337	0.615593398
338	0.6155664426
339	0.6155394677
340	0.6155055155
341	0.6154776257
342	0.6154487302
343	0.6154325864
344	0.6154091713
345	0.6153807863
346	0.61535709
347	0.6153426758
348	0.6153222499
349	0.6152866891
350	0.6152667772
351	0.6152413359
352	0.6152131887
353	0.6151850803
354	0.615157997
355	0.615129206
356	0.6151033548
357	0.6150804785
358	0.6150657383
359	0.6150375053
360	0.6150182068
361	0.6149951673
362	0.6149784114
363	0.6149470045
364	0.6149268415
365	0.6149030967
366	0.6148865688
367	0.6148729937
368	0.6148513297
369	0.614828452
370	0.614810816
371	0.6147836593
372	0.6147643592
373	0.6147396091
374	0.6147171378
375	0.6147018281
376	0.6146868215
377	0.6146547521
378	0.6146386949
379	0.6146001634
380	0.6145819954
381	0.614558727
382	0.6145400985
383	0.6145254346
384	0.6145081493
385	0.614486187
386	0.6144683428
387	0.614438394
388	0.6144189002
389	0.6143970612
390	0.6143754763
391	0.6143419442
392	0.6143166007
393	0.61429242
394	0.6142713302
395	0.614235951
396	0.61420444
397	0.6141712434
398	0.6141466347
399	0.6141210131
400	0.6140957489
401	0.6140770837
402	0.6140602499
403	0.6140479146
404	0.6140151112
405	0.6139918447
406	0.6139727565
407	0.6139550175
408	0.6139452392
409	0.613926736
410	0.6139047455
411	0.6138872888
412	0.6138720391
413	0.6138465068
414	0.6138298039
415	0.6138067921
416	0.613774076
417	0.6137502127
418	0.6137266021
419	0.6136908633
420	0.6136704668
421	0.6136456763
422	0.6136312566
423	0.6136166214
424	0.6135860029
425	0.6135587617
426	0.6135385203
427	0.6134995791
428	0.61348345
429	0.613458989
430	0.6134286909
431	0.6134000467
432	0.6133744551
433	0.6133567957
434	0.6133381283
435	0.6133165138
436	0.6132947513
437	0.6132726218
438	0.6132467719
439	0.6132169937
440	0.6132007304
441	0.6131766209
442	0.6131549138
443	0.6131336796
444	0.6131157045
445	0.6130939071
446	0.6130543082
447	0.6130418173
448	0.6130232833
449	0.6130080989
450	0.6129927634
451	0.6129709363
452	0.6129541119
453	0.6129338235
454	0.6129165215
455	0.6128979693
456	0.6128768751
457	0.6128527637
458	0.6128340836
459	0.6128091166
460	0.6127893038
461	0.6127727133
462	0.6127545773
463	0.6127377144
464	0.6127114515
465	0.6126972003
466	0.6126789471
467	0.6126672505
468	0.6126414119
469	0.6126240277
470	0.6126107193
471	0.6125994158
472	0.6125784093
473	0.612559783
474	0.6125478088
475	0.6125279722
476	0.612511614
477	0.6124876276
478	0.6124599813
479	0.6124407859
480	0.6124258868
481	0.6124119579
482	0.6123850219
483	0.6123675979
484	0.6123534529
485	0.6123276616
486	0.6123031876
487	0.6122873255
488	0.612267933
489	0.6122514602
490	0.6122338262
491	0.6122233365
492	0.6122058038
493	0.6121821278
494	0.6121666809
495	0.6121445326
496	0.6121217961
497	0.6120882633
498	0.6120760768
499	0.6120515074
500	0.6120364789
501	0.6120184626
502	0.6120033547
503	0.611985198
504	0.611983114
505	0.6119760351
506	0.6119616115
507	0.6119459424
508	0.6119281339
509	0.6119065206
510	0.6118916429
511	0.6118803831
512	0.6118715786
513	0.6118578683
514	0.6118351108
515	0.6118098509
516	0.6117814715
517	0.6117616238
518	0.6117455324
519	0.6117259025
520	0.6117035584
521	0.6116948943
522	0.6116789761
523	0.6116567422
524	0.6116371731
525	0.6116208529
526	0.6116047998
527	0.6115859778
528	0.6115623387
529	0.6115319362
530	0.6115100453
531	0.6114993338
532	0.6114794113
533	0.6114662715
534	0.6114479653
535	0.6114386257
536	0.611417991
537	0.6114046572
538	0.6113786124
539	0.6113618172
540	0.6113503998
541	0.6113236855
542	0.6113050387
543	0.6112921811
544	0.611282578
545	0.6112720602
546	0.6112592349
547	0.6112394805
548	0.6112213542
549	0.6112107614
550	0.6111951093
551	0.6111761243
552	0.6111493408
553	0.6111153992
554	0.6110959969
555	0.6110732337
556	0.6110509034
557	0.6110432397
558	0.6110138939
559	0.6109832208
560	0.6109490431
561	0.6109363012
562	0.6109188287
563	0.6109077138
564	0.6108903992
565	0.610878347
566	0.6108507087
567	0.6108280896
568	0.6108038307
569	0.6107931299
570	0.6107735607
571	0.6107554811
572	0.6107423052
573	0.610730714
574	0.6107162992
575	0.6107052863
576	0.6106902709
577	0.6106745855
578	0.6106537899
579	0.6106325426
580	0.6106046064
581	0.6105908924
582	0.6105750331
583	0.6105563082
584	0.6105404722
585	0.6105265786
586	0.6105035189
587	0.6104817275
588	0.6104684777
589	0.6104503833
590	0.6104296355
591	0.6104146838
592	0.6103915918
593	0.6103839043
594	0.6103650969
595	0.6103490585
596	0.6103279391
597	0.6103150188
598	0.6102886885
599	0.6102735987
600	0.6102647348
601	0.6102513754
602	0.6102371905
603	0.6102282564
604	0.6102090096
605	0.6101900843
606	0.6101804341
607	0.6101603413
608	0.6101393857
609	0.6101268261
610	0.6100993586
611	0.6100793042
612	0.6100683618
613	0.6100344647
614	0.6100200047
615	0.6100039818
616	0.6099842748
617	0.6099602561
618	0.6099369621
619	0.6099118056
620	0.6098854691
621	0.6098721903
622	0.6098512589
623	0.6098169283
624	0.6097930051
625	0.6097832797
626	0.6097694537
627	0.6097495864
628	0.6097304173
629	0.6097099962
630	0.6097001973
631	0.6096900823
632	0.6096711683
633	0.6096505272
634	0.6096348664
635	0.6096157991
636	0.6095968462
637	0.6095784649
638	0.609552046
639	0.6095323564
640	0.6095204589
641	0.6095061109
642	0.6094901053
643	0.6094723684
644	0.6094614018
645	0.6094481024
646	0.6094415981
647	0.609408418
648	0.6093807666
649	0.609368601
650	0.60934187
651	0.6093238761
652	0.6092973845
653	0.6092808962
654	0.6092602475
655	0.6092449998
656	0.6092287911
657	0.6092185485
658	0.6091993566
659	0.6091811642
660	0.6091550589
661	0.6091353298
662	0.6091127777
663	0.6090963108
664	0.6090835173
665	0.6090697251
666	0.6090460359
667	0.6090301753
668	0.6090069536
669	0.6089844251
670	0.6089611927
671	0.6089474269
672	0.6089324793
673	0.608911751
674	0.6088860874
675	0.6088561754
676	0.6088387723
677	0.608822584
678	0.6088014512
679	0.6087844998
680	0.6087684728
681	0.6087502355
682	0.6087351436
683	0.6087133341
684	0.608692062
685	0.6086678055
686	0.6086393305
687	0.6086199831
688	0.6086109155
689	0.6085956196
690	0.6085735109
691	0.6085547757
692	0.6085369368
693	0.6085227065
694	0.608499782
695	0.6084874346
696	0.6084714477
697	0.6084510254
698	0.6084193333
699	0.6083956862
700	0.6083679537
701	0.608357274
702	0.6083385566
703	0.6083285726
704	0.6083201182
705	0.6082965212
706	0.6082865211
707	0.6082756622
708	0.60825601
709	0.6082346568
710	0.6082171664
711	0.6082034756
712	0.6081836271
713	0.6081573807
714	0.6081372332
715	0.6081196899
716	0.6081012357
717	0.6080788584
718	0.6080588957
719	0.6080451256
720	0.6080302818
721	0.6080149355
722	0.6079912402
723	0.6079801775
724	0.6079653239
